??????????????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
????????????,2548,,,,,,,,,,,,2549,,,,,,,,,,,,2550,,,,,,,,,,,,2551,,,,,,,,,,,,2552,,,,,,,,,,,,2553,,,,,,,,,,,,2554,,,,,,,,,,,,2555,,,,,,,,,,,,2556,,,,,,,,,,,,2557,,,,,,,,,,,,2558,,,,,,,,,,,,2559,,,,,,,,,,,,2560,,,,,,,,,,,,2561,,,,,,,,,,,,2562,,,,,,,,,,,,2563,,,,,,,,,,,,2564,,,,,,,,,,,,2565,,,,,,,,,,,,2566,,,,,,,,,,,,2567,,,,,,,,,,,,2568,,,,,,,,,,,
,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?., ?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.
????????????,115.10,111.38,79.89,73.40,73.77,69.67,82.37,87.52,82.05,80.34,192.44,152.08,109.70,93.05,92.80,75.45,77.37,86.07,85.25,97.31,94.29,97.66,205.74,160.03,113.36,93.97,95.74,91.30,88.65,82.07,86.57,102.36,94.87,100.15,208.50,171.81,112.29,96.32,86.73,84.19,101.44,86.34,88.85,103.66,101.96,104.21,214.18,174.20,120.97,105.06,93.62,86.94,94.08,89.12,96.73,113.41,101.95,107.28,213.64,169.13,114.85,103.53,90.24,84.70,101.32,100.51,97.85,105.55,104.84,99.44,228.57,172.48,121.12,103.55,106.59,109.05,109.09,97.50,98.50,114.14,119.21,104.20,297.47,143.40,123.64,121.42,121.42,113.93,113.65,96.75,98.90,111.75,125.75,109.54,294.11,140.73,133.95,127.12,128.56,94.44,94.54,98.83,90.93,106.93,117.64,129.69,291.00,143.27,130.59,127.59,117.41,95.65,105.00,93.08,99.12,115.04,120.00,125.15,254.11,182.27,142.72,132.43,116.93,89.98,87.16,86.36,83.08,111.44,104.69,106.97,292.49,172.21,142.95,126.05,99.84,78.64,82.99,88.78,86.86,98.13,113.67,133.52,312.73,164.79,136.62,133.04,132.70,97.91,98.52,94.53,95.78,121.88,126.86,131.06,298.43,165.99,149.38,145.21,149.25,120.67,109.10,101.71,105.75,135.08,129.20,130.73,297.68,171.84,154.97,146.00,146.34,116.94,107.68,101.12,108.88,132.66,131.59,137.67,288.29,167.47,152.73,129.41,107.69,97.68,106.82,99.60,107.67,118.95,122.92,137.67,329.36,163.87,148.79,136.00,113.64,105.16,106.60,102.33,110.35,135.13,131.20,134.54,313.13,163.73,146.59,133.05,127.62,105.90,116.93,111.90,112.83,132.57,127.75,133.28,316.36,162.81,153.36,138.49,123.48,121.94,108.15,112.65,111.90,137.09,132.89,142.91,318.41,162.19,149.60,136.97,119.86,119.78,120.31,108.07,117.73,140.26,131.73,142.70,320.28,161.67,153.19,141.68,135.02,128.58,120.37,118.94,,,,,,
1. ??????????????,124.18,119.21,73.22,66.81,65.42,56.18,75.89,82.45,73.09,71.48,221.96,170.12,114.01,91.76,87.83,67.66,68.99,76.38,75.43,89.31,84.73,90.32,235.36,176.11,116.64,90.89,88.74,87.01,81.74,69.23,74.53,95.68,84.26,92.28,239.28,192.35,115.93,95.04,78.41,78.48,100.04,75.83,79.31,97.42,95.50,98.91,246.55,194.69,127.16,106.45,89.48,80.38,87.37,79.00,87.23,107.00,91.99,99.86,244.31,187.53,117.06,102.41,80.31,77.16,97.78,91.00,90.26,97.04,94.54,89.65,261.93,194.70,124.11,103.01,102.89,109.73,104.10,85.86,89.16,106.30,112.63,94.53,354.88,150.41,127.39,123.78,121.42,111.97,106.05,83.91,88.41,108.39,128.34,103.42,354.58,147.85,138.16,132.64,135.24,88.03,89.73,95.11,84.53,105.30,118.56,136.24,355.60,155.58,141.04,133.34,120.91,92.13,99.77,89.36,89.90,116.89,124.07,124.00,299.90,202.56,152.55,140.71,118.39,73.32,76.66,73.60,71.16,102.74,96.14,99.69,351.78,185.08,147.58,127.34,90.89,55.09,66.72,70.08,68.35,82.42,103.87,131.23,369.08,169.72,136.31,132.37,130.47,83.76,83.88,76.53,78.46,114.58,119.71,126.56,352.18,172.96,154.68,144.57,151.71,113.76,95.01,83.22,90.35,129.28,123.14,125.60,348.83,179.99,159.32,144.10,147.06,104.69,87.83,83.52,90.74,124.90,123.59,127.94,335.41,171.88,156.97,122.41,94.62,79.50,87.22,82.25,88.33,106.55,112.23,129.71,391.62,167.29,152.44,132.31,103.42,90.83,89.07,87.19,94.14,131.07,127.08,132.13,377.39,174.29,150.80,128.59,122.89,93.11,104.98,101.89,98.30,127.87,121.68,126.53,377.32,168.84,157.80,133.70,114.49,110.79,86.82,96.41,91.04,129.15,125.03,134.62,374.17,160.71,146.68,125.77,104.32,103.76,101.34,88.33,95.52,130.31,120.07,131.14,374.24,157.56,150.25,130.73,123.53,117.39,100.83,102.74,,,,,,
    1.1 ??????????????????????,105.86,78.92,71.85,40.58,26.33,29.65,25.74,45.35,59.36,89.11,370.50,256.75,106.05,96.05,97.45,58.84,31.12,31.10,31.78,57.75,72.75,87.99,370.96,242.51,115.13,88.29,95.08,76.69,41.52,29.60,29.88,48.36,66.05,90.81,372.50,277.37,106.21,85.52,79.40,87.48,68.08,45.66,46.81,66.89,79.61,82.66,388.19,258.77,124.42,102.86,88.47,94.28,58.39,39.90,40.11,66.76,65.71,96.88,390.90,261.48,98.54,88.54,79.75,84.58,68.50,49.02,44.48,50.59,66.89,74.60,423.22,292.65,119.36,103.19,132.18,139.93,79.50,40.75,36.76,67.78,104.68,60.25,570.58,143.42,116.18,139.25,167.02,143.20,76.94,39.84,41.48,75.13,131.25,80.38,560.52,145.98,128.24,149.43,184.48,109.03,55.69,40.17,30.35,48.94,98.72,134.62,551.55,153.68,128.35,151.54,160.21,106.95,58.53,29.98,29.09,49.67,105.25,104.77,447.68,236.03,146.95,164.40,153.56,69.79,27.63,10.36,7.33,37.57,54.21,58.29,539.08,194.76,136.58,140.30,104.91,43.64,23.19,11.06,5.37,19.53,61.61,112.11,565.52,159.66,107.90,142.97,167.56,86.40,40.21,10.53,10.86,62.11,92.48,95.59,519.05,153.87,133.09,149.91,200.22,126.71,55.66,15.87,19.49,79.25,91.15,87.13,516.84,173.67,144.37,151.28,191.08,99.47,42.10,16.46,16.65,61.99,86.18,89.54,495.15,158.65,128.44,118.38,93.18,59.73,26.08,12.11,9.58,38.28,64.41,102.60,603.18,140.10,128.93,125.07,108.63,78.96,35.66,13.79,9.00,58.29,77.86,95.37,595.31,154.77,131.09,124.65,150.84,87.11,40.16,19.11,17.64,73.86,83.45,92.66,575.73,149.24,127.66,132.27,136.73,95.91,43.19,16.74,16.12,69.01,81.87,105.19,576.20,135.15,124.26,128.23,118.93,93.22,36.00,13.99,14.68,68.20,80.89,104.17,577.39,140.44,129.24,133.72,150.74,113.89,42.67,17.07,,,,,,
 ??????????,43.46,40.28,72.04,45.27,30.72,37.64,30.45,44.92,43.33,80.38,453.99,277.53,43.58,46.06,74.52,66.22,35.79,38.08,35.31,40.94,46.55,84.95,461.79,242.07,38.66,31.52,58.89,83.52,46.30,35.02,36.38,44.13,46.82,82.22,448.01,273.68,40.84,30.80,31.36,94.37,85.93,60.93,54.97,59.70,53.09,74.99,471.22,252.04,38.05,33.81,46.89,94.85,71.35,51.77,49.29,57.68,48.34,88.86,484.30,243.33,31.43,20.04,42.78,94.95,85.45,59.43,46.86,45.99,54.00,68.87,531.29,306.96,42.77,29.18,77.01,133.55,82.93,47.14,36.58,64.65,102.46,50.65,728.88,83.17,20.96,35.04,105.87,151.63,93.80,50.29,46.40,80.04,129.01,64.91,709.82,94.81,26.86,49.07,118.74,116.49,65.55,49.04,32.61,48.52,98.39,139.75,682.89,80.50,25.30,60.09,103.83,110.69,68.04,35.56,32.40,48.10,111.31,93.95,556.87,192.91,44.36,48.98,83.23,59.31,27.52,10.95,5.52,40.80,56.21,45.31,661.77,151.63,33.23,27.63,44.21,36.47,19.75,7.22,1.76,16.66,51.43,102.83,709.39,125.82,19.28,36.37,85.98,82.22,42.60,10.98,11.01,66.58,86.82,90.03,655.25,97.28,24.05,37.84,93.47,101.83,52.49,18.00,21.11,85.53,95.88,82.41,634.71,100.52,25.38,39.53,91.41,88.08,43.28,17.10,17.59,74.39,89.86,86.39,616.93,88.86,22.83,44.53,59.67,52.63,20.53,12.13,6.18,42.51,67.63,97.93,746.07,99.37,18.88,29.61,73.21,67.33,34.14,11.89,6.70,65.65,80.85,95.73,730.60,97.60,19.44,24.15,81.71,82.99,39.65,19.06,17.22,88.21,88.74,88.73,711.87,86.94,14.68,24.19,87.27,101.59,45.82,16.51,15.76,79.87,87.69,97.97,715.67,90.80,16.14,29.75,88.08,98.18,35.39,12.66,13.13,79.24,87.32,98.03,718.73,91.25,16.73,37.27,114.32,126.41,47.19,17.23,,,,,,
    ??????????????,72.44,75.05,134.24,84.36,57.24,70.13,56.74,83.71,80.60,120.19,226.71,138.59,72.65,85.83,138.85,123.39,66.68,70.96,65.79,76.29,86.60,127.16,230.61,120.88,64.44,58.74,109.74,155.62,86.27,65.26,67.79,82.24,87.09,123.00,223.72,136.67,68.08,57.39,58.44,175.85,160.12,113.54,102.43,111.25,98.75,112.30,235.32,125.86,63.44,63.01,87.37,176.74,132.95,96.46,91.84,107.49,89.92,133.00,241.85,121.51,52.40,37.34,79.71,176.93,159.23,110.73,87.32,85.70,100.46,103.15,265.31,153.29,71.30,54.37,143.51,248.86,154.53,87.84,68.17,120.46,190.59,75.90,363.98,41.53,34.94,65.29,197.28,282.54,174.78,93.72,86.47,149.14,239.98,97.34,354.47,47.34,44.78,91.44,221.25,217.07,122.14,91.38,60.77,90.41,183.03,209.38,341.02,40.20,42.18,111.97,193.48,206.26,126.78,66.26,60.37,89.63,207.04,140.66,278.09,96.33,73.95,91.28,155.09,110.51,51.29,20.40,10.28,76.03,104.57,68.11,310.98,75.72,55.40,51.49,82.38,67.95,36.80,13.46,3.28,31.04,95.65,143.24,304.48,98.06,29.96,67.78,160.21,153.22,79.39,20.47,20.52,124.06,158.30,108.37,171.13,128.79,41.15,70.51,174.17,189.75,97.80,33.54,39.33,159.38,174.93,109.54,172.42,155.07,44.22,73.65,170.33,164.12,80.65,31.86,32.79,138.61,160.56,106.86,168.53,131.93,38.97,82.97,111.19,98.08,38.26,22.61,11.51,79.21,123.36,114.63,269.48,139.34,32.49,55.17,136.43,125.46,63.62,22.16,12.48,122.33,146.46,118.98,220.55,144.11,33.51,44.99,152.26,154.65,73.89,35.51,32.10,164.37,160.37,107.87,222.07,126.46,25.21,45.07,162.62,189.31,85.39,30.76,29.36,148.83,159.12,118.50,232.56,131.15,27.77,55.44,164.13,182.95,65.95,23.59,24.46,147.66,158.13,119.86,224.91,133.08,28.43,69.44,213.03,235.56,87.94,32.10,,,,,,
    ?????????????????????????,8.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.46,723.32,442.17,8.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.83,735.75,385.68,7.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.01,713.78,436.04,7.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.52,750.76,401.56,7.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.13,771.60,387.68,5.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.50,846.47,489.07,7.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.52,1161.27,132.51,3.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.12,1130.92,151.05,4.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.62,1088.01,128.26,4.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.77,887.23,307.35,8.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.60,1273.65,241.58,6.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.09,1358.71,168.06,4.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.30,70.86,1499.57,41.19,3.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.84,49.73,1383.36,25.93,3.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.78,62.97,1371.04,33.35,3.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.14,78.94,1502.69,39.58,2.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.10,68.53,1562.74,33.56,3.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.66,66.67,1513.04,32.39,2.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.24,74.26,1497.87,33.74,2.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.39,72.73,1523.09,33.09,2.80,0.00,0.00,0.00,0.00,0.00,,,,,,
    ????????????????????????????,12.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,44.05,709.61,433.79,12.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,46.33,721.81,378.37,10.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,44.97,700.26,427.78,11.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,40.83,736.54,393.96,10.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,48.50,756.98,380.33,8.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,37.46,830.44,479.80,11.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,27.50,1139.28,130.00,5.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.09,35.16,1109.50,148.19,7.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,75.95,1067.40,125.83,7.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,51.23,870.42,301.53,12.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,24.31,811.15,237.00,9.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,52.18,953.01,145.39,9.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.97,66.19,861.54,85.29,4.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.17,52.57,903.68,51.60,3.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.96,62.34,842.90,46.02,4.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.26,78.15,1042.35,69.94,3.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.05,69.15,1019.70,56.44,3.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.42,66.41,986.88,52.16,2.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,74.10,996.95,56.96,2.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.67,72.80,1000.24,54.91,3.63,0.00,0.00,0.00,0.00,0.00,,,,,,
 ????,512.55,391.41,90.43,32.58,9.36,0.00,0.00,0.00,0.00,1.59,1.45,160.63,505.68,440.90,231.96,31.16,11.73,0.00,0.00,0.00,0.00,1.85,9.05,331.21,573.25,489.61,354.47,69.42,17.35,0.00,0.00,0.00,0.00,2.00,14.82,365.16,589.16,530.70,485.26,104.28,17.09,0.00,0.00,0.00,0.00,1.73,9.59,351.05,596.84,537.79,343.00,65.76,11.50,0.00,0.00,0.00,0.00,1.84,26.93,470.89,590.88,513.80,326.89,29.57,10.84,0.00,0.00,0.00,0.00,0.00,3.28,398.65,656.44,589.66,561.44,358.50,150.67,15.90,0.00,0.00,0.00,0.00,48.53,577.59,683.63,655.01,620.23,201.13,19.08,0.00,0.00,0.00,0.00,0.00,54.27,559.00,775.80,685.82,626.12,137.96,17.42,0.00,0.00,0.00,0.00,0.00,10.65,620.88,831.20,745.12,604.32,136.36,9.47,0.00,0.00,0.00,0.00,0.00,0.00,618.52,839.97,779.60,634.60,146.21,14.56,0.00,0.00,0.00,0.00,0.00,6.45,567.17,843.24,827.67,435.85,5.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,376.75,778.46,829.43,584.11,73.01,13.28,0.00,0.00,0.00,0.00,0.00,0.00,577.24,917.45,866.57,926.48,406.83,127.03,1.14,0.00,0.00,0.00,0.00,57.61,764.19,985.15,896.79,816.16,161.60,24.31,0.00,0.00,0.00,0.00,0.00,0.00,640.64,891.24,519.46,39.80,12.41,14.78,0.00,0.00,0.00,0.00,0.00,0.00,287.65,828.31,628.76,75.30,56.85,5.65,0.00,0.00,0.00,0.00,0.00,0.00,479.20,877.62,710.88,462.32,51.17,16.10,0.00,0.00,0.00,0.00,0.00,0.00,493.47,914.55,845.08,365.87,12.42,10.30,0.00,0.00,0.00,0.00,0.00,0.00,422.79,926.71,779.60,160.37,16.51,15.73,0.00,0.00,0.00,0.00,0.00,0.00,494.23,950.72,824.47,337.88,10.17,3.99,0.00,,,,,,
 ???????????,238.08,145.97,103.00,34.28,29.58,20.13,32.33,22.43,40.63,94.91,189.89,248.77,267.54,249.53,230.04,68.20,39.03,32.93,58.99,36.65,29.22,125.01,205.63,341.28,388.94,237.80,211.59,87.92,62.59,41.52,28.49,36.40,74.97,141.24,251.32,349.50,221.09,165.20,129.74,81.74,31.68,6.06,63.42,112.72,168.00,111.49,226.27,312.17,430.67,313.12,248.68,192.73,49.66,17.60,38.04,49.68,69.18,125.67,136.55,242.25,226.20,305.10,194.70,124.61,47.09,28.52,29.88,18.88,26.56,51.93,112.67,164.89,284.18,311.69,270.37,93.54,52.28,24.17,28.97,41.43,63.61,43.31,97.01,160.22,413.31,598.73,343.29,123.97,61.74,24.68,44.42,27.96,104.24,52.63,99.60,175.66,416.72,580.92,431.43,86.19,56.36,34.05,36.86,40.87,57.54,61.23,223.66,244.63,385.42,453.18,305.18,112.05,75.11,36.91,32.39,63.45,61.55,121.02,131.30,208.62,401.43,663.67,377.86,103.17,56.31,25.60,27.72,44.68,53.24,71.57,141.48,162.54,390.46,525.56,355.22,144.48,90.43,65.02,37.50,55.07,93.39,98.19,119.11,164.40,263.85,480.94,566.21,178.79,75.98,26.27,17.27,43.83,52.31,80.82,104.57,161.60,353.69,501.26,515.70,106.89,41.82,23.58,27.03,44.98,48.06,78.17,128.07,180.30,392.64,471.76,511.76,131.73,67.74,42.21,25.75,36.29,60.73,82.60,88.06,190.21,336.23,431.86,455.59,154.06,95.63,35.43,31.74,38.36,44.98,101.20,138.15,230.02,447.68,526.39,450.57,195.58,99.75,56.68,36.58,49.43,69.90,107.45,142.64,227.55,426.37,493.10,453.25,175.51,97.60,56.72,39.34,48.05,64.08,97.26,141.38,256.76,384.08,440.43,356.61,154.22,81.33,48.24,36.24,44.79,54.09,95.69,127.24,203.90,332.98,416.38,372.21,142.52,84.15,49.61,42.92,42.58,48.92,87.15,118.91,190.92,361.34,370.76,336.97,147.34,72.56,45.98,,,,,,
 ??????????????????,89.21,19.66,5.72,5.60,0.12,0.12,0.00,126.82,307.49,248.36,211.41,185.48,69.22,11.61,5.87,6.10,0.70,0.12,0.00,313.53,469.28,165.75,105.33,32.12,15.95,8.31,6.96,4.27,1.12,0.34,0.00,156.73,311.01,203.95,211.43,142.46,55.83,14.43,10.98,7.27,0.73,0.05,0.00,167.56,337.33,219.34,210.88,150.84,74.80,36.04,11.61,7.81,1.25,0.35,0.00,252.37,314.80,260.21,205.59,210.19,39.55,17.84,11.66,8.61,1.64,33.29,89.11,190.77,318.83,239.72,231.46,179.34,62.19,25.98,11.85,9.28,1.65,30.64,88.93,210.04,304.73,242.90,206.91,191.05,51.93,35.84,34.30,23.70,4.20,5.63,37.70,170.85,348.37,358.76,251.22,114.29,41.96,17.35,28.60,35.06,8.10,11.52,34.09,118.90,271.51,331.96,305.14,205.98,30.24,16.67,27.29,35.31,8.84,5.38,24.91,106.41,227.37,317.14,284.47,238.04,60.74,10.73,21.25,46.23,12.75,0.00,5.79,39.51,101.29,236.06,447.39,210.55,41.48,5.24,18.45,41.31,7.63,0.00,4.26,25.32,198.95,351.73,355.63,228.91,21.47,4.59,18.48,38.69,10.12,1.17,9.63,112.53,308.18,278.17,287.26,199.28,41.14,14.62,33.56,72.01,24.09,4.85,14.48,152.81,207.44,244.33,371.09,190.48,53.02,15.43,68.40,105.41,25.09,1.22,12.84,44.10,185.93,232.28,372.49,241.19,42.55,18.88,57.82,75.61,14.78,0.14,26.09,42.08,135.27,274.20,490.47,265.72,31.26,12.05,65.47,74.81,12.57,0.07,7.83,67.26,154.81,192.76,532.96,255.62,21.43,2.71,85.90,59.55,8.41,0.24,15.81,54.02,158.26,237.69,459.34,236.95,28.58,7.47,70.70,64.19,13.84,3.62,13.78,75.34,159.29,314.93,445.19,156.90,14.54,4.30,51.41,71.59,11.40,3.39,12.97,73.73,156.22,311.15,442.36,154.93,13.67,4.25,51.11,71.20,11.35,3.67,,,,,,
